prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,choice_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser,comp_tries_to_pass
5f285dc5b09b3715fa20a14c,4,0.42,30,30,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,5
5f4738bfa043201203a27b4b,1,0.09000000000000001,23,9,No Banner,Lost,0,NA,Chose Non-Hot,7,69,NA,1
5f4738bfa043201203a27b4b,2,0.08000000000000002,23,15,Banner,Lost,2,hot_win_number,Chose Non-Hot,6,68,0,1
5f4738bfa043201203a27b4b,3,0.07000000000000002,23,7,Banner,Lost,16,hot_win_number,Chose Hot,11,72,1,1
5f4738bfa043201203a27b4b,4,0.42,23,23,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,1
5f7529755aaa0e1a6e804640,1,0.09000000000000001,23,9,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,2
5f7529755aaa0e1a6e804640,2,0.08000000000000002,23,31,Banner,Lost,2,hot_win_number,Chose Non-Hot,100,100,0,2
5f7529755aaa0e1a6e804640,3,0.07000000000000002,23,8,Banner,Lost,16,hot_win_number,Chose Hot,100,100,0,2
5f7529755aaa0e1a6e804640,4,0.42,23,23,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
5fd67cce91f9895969c0edee,1,0.09000000000000001,14,31,No Banner,Lost,0,NA,Chose Non-Hot,95,97,NA,2
5fd67cce91f9895969c0edee,2,0.08000000000000002,20,34,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,2
5fd67cce91f9895969c0edee,3,0.07000000000000002,34,29,Banner,Lost,16,hot_win_number,Chose Hot,96,94,95,2
5fd67cce91f9895969c0edee,4,0.42,34,34,No Banner,Won,0,NA,Chose Non-Hot,6,NA,NA,2
60318abd5f6c24103dd02a1f,1,0.09000000000000001,3,28,No Banner,Lost,0,NA,Chose Non-Hot,70,95,NA,4
60318abd5f6c24103dd02a1f,2,0.08000000000000002,7,24,Banner,Lost,2,hot_win_number,Chose Hot,79,84,NA,4
60318abd5f6c24103dd02a1f,3,0.07000000000000002,7,19,Banner,Lost,16,hot_win_number,Chose Hot,65,46,8,4
60318abd5f6c24103dd02a1f,4,0.42,7,7,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,4
60e88e0b7d305b5fbae3ebef,1,0.09000000000000001,16,4,No Banner,Lost,0,NA,Chose Non-Hot,100,8,NA,4
60e88e0b7d305b5fbae3ebef,2,0.08000000000000002,27,29,Banner,Lost,2,hot_win_number,Chose Hot,58,100,NA,4
60e88e0b7d305b5fbae3ebef,3,0.07000000000000002,10,34,Banner,Lost,16,hot_win_number,Chose Hot,27,48,51,4
60e88e0b7d305b5fbae3ebef,4,0.42,1,1,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,4
615ddab1e4f013092538b6c5,1,0.09000000000000001,33,12,No Banner,Lost,0,NA,Chose Non-Hot,46,74,NA,5
615ddab1e4f013092538b6c5,2,0.08000000000000002,28,34,Banner,Lost,2,hot_win_number,Chose Hot,38,84,NA,5
615ddab1e4f013092538b6c5,3,0.07000000000000002,11,30,Banner,Lost,16,hot_win_number,Chose Hot,87,69,56,5
615ddab1e4f013092538b6c5,4,0.42,32,32,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,5
623519c893eaebfcb0046e26,1,0.09000000000000001,25,11,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,2
623519c893eaebfcb0046e26,2,0.08000000000000002,25,20,Banner,Lost,2,hot_win_number,Chose Hot,68,97,NA,2
623519c893eaebfcb0046e26,3,0.07000000000000002,16,21,Banner,Lost,16,hot_win_number,Chose Hot,82,78,5,2
623519c893eaebfcb0046e26,4,0.42,25,25,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
6296295f57c07906c9052955,1,0.09000000000000001,18,9,No Banner,Lost,0,NA,Chose Non-Hot,0,0,NA,2
6296295f57c07906c9052955,2,0.08000000000000002,5,12,Banner,Lost,2,hot_win_number,Chose Hot,11,40,NA,2
6296295f57c07906c9052955,3,0.07000000000000002,36,18,Banner,Lost,16,hot_win_number,Chose Hot,0,0,0,2
6296295f57c07906c9052955,4,0.42,14,14,No Banner,Won,0,NA,Chose Non-Hot,0,NA,NA,2
62a099bb01ad779df1971ea4,1,0.09000000000000001,18,26,No Banner,Lost,0,NA,Chose Non-Hot,100,100,NA,2
62a099bb01ad779df1971ea4,2,0.08000000000000002,36,31,Banner,Lost,2,hot_win_number,Chose Hot,100,100,NA,2
62a099bb01ad779df1971ea4,3,0.07000000000000002,13,17,Banner,Lost,16,hot_win_number,Chose Hot,100,100,1,2
62a099bb01ad779df1971ea4,4,0.42,17,17,No Banner,Won,0,NA,Chose Non-Hot,5,NA,NA,2
62ac7d0d794fad54e6cf7d84,1,0.09000000000000001,1,14,No Banner,Lost,0,NA,Chose Non-Hot,0,50,NA,1
62ac7d0d794fad54e6cf7d84,2,0.08000000000000002,1,4,Banner,Lost,2,hot_win_number,Chose Hot,0,0,NA,1
