prolific_pid,trial,balance,chosen_number,winner_number,banner_yn,win_status,hot_set_size,outcome_rel_to_hot,regret_chosen,regret_notchosen_winner,regret_notchosen_hot_loser
5e59ee3a2bff541fcf05d86e,22,1.5199999999999998,17,10,1,0,2,nonhot_win_number,15,17,0
5e59ee3a2bff541fcf05d86e,23,1.5099999999999998,6,15,0,0,0,NA,22,27,NA
5e59ee3a2bff541fcf05d86e,24,1.4999999999999998,19,15,0,0,0,NA,23,26,NA
6123d102b713b8a947fd2eb2,1,0.29,9,4,1,0,2,hot_win_number,11,15,17
6123d102b713b8a947fd2eb2,2,0.27999999999999997,22,24,0,0,0,NA,17,24,NA
6123d102b713b8a947fd2eb2,3,0.6299999999999999,13,13,0,1,0,NA,0,NA,NA
6123d102b713b8a947fd2eb2,4,0.6199999999999999,15,8,0,0,0,NA,23,23,NA
6123d102b713b8a947fd2eb2,5,0.6099999999999999,11,5,0,0,0,NA,22,22,NA
6123d102b713b8a947fd2eb2,6,0.5999999999999999,27,14,1,0,1,nonhot_win_number,21,23,22
6123d102b713b8a947fd2eb2,7,0.5899999999999999,17,21,1,0,3,hot_win_number,25,25,21
6123d102b713b8a947fd2eb2,8,0.5799999999999998,10,26,1,0,2,nonhot_win_number,29,34,10
6123d102b713b8a947fd2eb2,9,0.9299999999999998,8,8,0,1,0,NA,0,NA,NA
6123d102b713b8a947fd2eb2,10,0.9199999999999998,29,9,1,0,8,hot_win_number,20,21,19
6123d102b713b8a947fd2eb2,11,0.9099999999999998,8,18,0,0,0,NA,25,32,NA
6123d102b713b8a947fd2eb2,12,0.8999999999999998,23,24,1,0,16,hot_win_number,27,22,15
6123d102b713b8a947fd2eb2,13,0.8899999999999998,21,2,0,0,0,NA,21,21,NA
6123d102b713b8a947fd2eb2,14,0.8799999999999998,15,13,1,0,8,nonhot_win_number,20,23,12
6123d102b713b8a947fd2eb2,15,0.8699999999999998,17,26,0,0,0,NA,24,22,NA
6123d102b713b8a947fd2eb2,16,0.8599999999999998,9,34,0,0,0,NA,23,23,NA
6123d102b713b8a947fd2eb2,17,1.2099999999999995,25,25,0,1,0,NA,0,NA,NA
6123d102b713b8a947fd2eb2,18,1.1999999999999995,11,27,1,0,3,nonhot_win_number,17,19,5
6123d102b713b8a947fd2eb2,19,1.1899999999999995,26,35,1,0,1,nonhot_win_number,14,10,5
6123d102b713b8a947fd2eb2,20,1.1799999999999995,15,31,0,0,0,NA,27,30,NA
6123d102b713b8a947fd2eb2,21,1.1699999999999997,3,12,0,0,0,NA,22,27,NA
6123d102b713b8a947fd2eb2,22,1.1599999999999997,10,6,1,0,16,nonhot_win_number,23,19,17
6123d102b713b8a947fd2eb2,23,1.5099999999999998,16,16,0,1,0,NA,0,NA,NA
6123d102b713b8a947fd2eb2,24,1.4999999999999998,12,7,0,0,0,NA,21,13,NA
612547f89bad5437aaecfa66,1,0.29,6,13,1,0,3,hot_win_number,53,39,31
612547f89bad5437aaecfa66,2,0.27999999999999997,22,19,0,0,0,NA,12,2,NA
612547f89bad5437aaecfa66,3,0.6299999999999999,7,7,0,1,0,NA,7,NA,NA
612547f89bad5437aaecfa66,4,0.6199999999999999,27,1,0,0,0,NA,12,12,NA
612547f89bad5437aaecfa66,5,0.6099999999999999,4,33,1,0,8,hot_win_number,37,11,8
612547f89bad5437aaecfa66,6,0.5999999999999999,15,18,1,0,1,nonhot_win_number,86,8,NA
612547f89bad5437aaecfa66,7,0.5899999999999999,36,18,1,0,2,nonhot_win_number,43,13,10
612547f89bad5437aaecfa66,8,0.5799999999999998,18,17,1,0,2,hot_win_number,59,11,9
612547f89bad5437aaecfa66,9,0.5699999999999998,17,5,0,0,0,NA,12,12,NA
612547f89bad5437aaecfa66,10,0.9199999999999998,13,13,0,1,0,NA,1,NA,NA
612547f89bad5437aaecfa66,11,0.9099999999999998,21,9,0,0,0,NA,22,25,NA
612547f89bad5437aaecfa66,12,0.8999999999999998,18,6,0,0,0,NA,2,21,NA
612547f89bad5437aaecfa66,13,0.8899999999999998,4,28,0,0,0,NA,4,18,NA
612547f89bad5437aaecfa66,14,0.8799999999999998,20,9,0,0,0,NA,3,5,NA
612547f89bad5437aaecfa66,15,1.2299999999999998,13,13,0,1,0,NA,0,NA,NA
612547f89bad5437aaecfa66,16,1.2199999999999998,14,12,1,0,16,hot_win_number,46,8,3
612547f89bad5437aaecfa66,17,1.2099999999999995,35,22,1,0,3,nonhot_win_number,34,9,6
612547f89bad5437aaecfa66,18,1.1999999999999995,15,11,0,0,0,NA,10,9,NA
612547f89bad5437aaecfa66,19,1.1899999999999995,12,33,0,0,0,NA,7,11,NA
612547f89bad5437aaecfa66,20,1.1799999999999995,8,15,1,0,8,nonhot_win_number,40,4,2
612547f89bad5437aaecfa66,21,1.1699999999999997,19,11,0,0,0,NA,10,6,NA
612547f89bad5437aaecfa66,22,1.1599999999999997,30,10,1,0,16,nonhot_win_number,50,14,11
612547f89bad5437aaecfa66,23,1.5099999999999998,19,19,0,1,0,NA,0,NA,NA
612547f89bad5437aaecfa66,24,1.4999999999999998,7,28,1,0,1,nonhot_win_number,46,9,5
